morpheme,occurrence,type
bary,4,neoclassical
brevi,4,neoclassical
melo,4,neoclassical
aldo,4,neoclassical
haem,4,neoclassical
Franco,4,
panto,4,neoclassical
mandibulo,4,neoclassical
seismo,4,neoclassical
aut,4,neoclassical
spoligo,4,neoclassical
stauro,4,neoclassical
digi,4,neoclassical
picro,4,neoclassical
cavo,4,neoclassical
ventri,4,neoclassical
qu,4,neoclassical
papillo,4,neoclassical
strepto,4,neoclassical
tubero,4,neoclassical
olivo,4,neoclassical
Gallo,4,
nifur,4,neoclassical
balneo,4,neoclassical
pycno,4,neoclassical
cuneo,4,neoclassical
gravo,4,neoclassical
semper,4,neoclassical
herpeto,4,neoclassical
derm,4,neoclassical
gli,4,neoclassical
acromio,4,neoclassical
coeno,4,neoclassical
urano,4,neoclassical
ponto,4,neoclassical
algo,4,neoclassical
again,4,
rhodo,4,neoclassical
kine,4,neoclassical
protero,4,neoclassical
luteo,4,neoclassical
gymno,4,neoclassical
tropo,4,neoclassical
sacculo,4,neoclassical
septa,4,neoclassical
opsono,4,neoclassical
omo,4,neoclassical
vesiculo,4,neoclassical
cef,4,neoclassical
condylo,4,neoclassical
micto,4,neoclassical
zono,4,neoclassical
udi,4,neoclassical
splanchno,4,neoclassical
conico,4,neoclassical
rufo,4,neoclassical
olfacto,4,neoclassical
oeno,4,neoclassical
ent,4,
grammatico,4,neoclassical
anemo,4,neoclassical
pelvi,4,neoclassical
vago,4,neoclassical
aristo,4,neoclassical
chromato,4,neoclassical
antro,4,neoclassical
crystallo,4,neoclassical
dictyo,4,neoclassical
anxio,4,neoclassical
coxo,4,neoclassical
disco,4,neoclassical
anterio,4,neoclassical
imino,4,neoclassical
radiculo,4,neoclassical
proprio,4,neoclassical
branchio,4,neoclassical
planto,4,neoclassical
ludo,4,neoclassical
farado,4,neoclassical
tycho,4,neoclassical
loco,4,neoclassical
evapo,4,neoclassical
nitroso,4,neoclassical
triplo,4,neoclassical
ed,3,
myria,3,neoclassical
pari,3,neoclassical
vermi,3,neoclassical
palæo,3,neoclassical
hyp,3,neoclassical
xipho,3,neoclassical
hippo,3,neoclassical
salpingo,3,neoclassical
Ibero,3,
plani,3,neoclassical
trito,3,neoclassical
dino,3,neoclassical
my,3,
pisci,3,neoclassical
through,3,neoclassical
nemat,3,neoclassical
magno,3,neoclassical
actuo,3,neoclassical
acaro,3,neoclassical
quadrato,3,neoclassical
mela,3,neoclassical
tauto,3,neoclassical
asco,3,neoclassical
eroto,3,neoclassical
typo,3,neoclassical
bronchio,3,neoclassical
delto,3,neoclassical
es,3,neoclassical
peg,3,neoclassical
eno,3,neoclassical
is,3,neoclassical
stanno,3,neoclassical
sexi,3,neoclassical
K,3,
pyrano,3,neoclassical
peno,3,neoclassical
stomato,3,neoclassical
vari,3,neoclassical
denti,3,neoclassical
myrmeco,3,neoclassical
deka,3,neoclassical
psammo,3,neoclassical
chalco,3,neoclassical
strontio,3,neoclassical
bario,3,neoclassical
tartro,3,neoclassical
deuto,3,neoclassical
omphalo,3,neoclassical
calcareo,3,neoclassical
acino,3,neoclassical
anatomico,3,neoclassical
spermo,3,neoclassical
soleno,3,neoclassical
tungsto,3,neoclassical
phreno,3,neoclassical
cerato,3,neoclassical
pheo,3,neoclassical
plesio,3,neoclassical
pyloro,3,neoclassical
acantho,3,neoclassical
genio,3,neoclassical
konio,3,neoclassical
hypothalamo,3,neoclassical
epithelio,3,neoclassical
dideoxy,3,neoclassical
giganto,3,neoclassical
amygdalo,3,neoclassical
hepatico,3,neoclassical
vomero,3,neoclassical
anthraco,3,neoclassical
ennea,3,neoclassical
menisco,3,neoclassical
ulcero,3,neoclassical
monarcho,3,neoclassical
octadeca,3,neoclassical
colono,3,neoclassical
metabolo,3,neoclassical
photoelectro,3,neoclassical
bora,3,neoclassical
ego,3,neoclassical
annulo,3,neoclassical
arteriolo,3,neoclassical
extero,3,neoclassical
sphingo,3,neoclassical
estro,3,neoclassical
mammillo,3,neoclassical
circa,3,neoclassical
umbilico,3,neoclassical
pseud,3,neoclassical
juridico,3,neoclassical
lepido,3,neoclassical
logico,3,neoclassical
arabino,3,neoclassical
patro,3,neoclassical
dendrito,3,neoclassical
ferto,3,neoclassical
lamino,3,neoclassical
occluso,3,neoclassical
oxido,3,neoclassical
inflammo,3,neoclassical
furano,3,neoclassical
incudo,3,neoclassical
archae,3,neoclassical
neutro,3,neoclassical
afro,3,
curvi,3,neoclassical
acoustico,3,neoclassical
wh,3,neoclassical
Serbo,2,
gibi,2,neoclassical
sphygm,2,neoclassical
mebi,2,neoclassical
kibi,2,neoclassical
tebi,2,neoclassical
Finno,2,
sperma,2,neoclassical
xanth,2,neoclassical
phil,2,neoclassical
ipsi,2,neoclassical
Hiberno,2,neoclassical
anthra,2,neoclassical
psychoto,2,neoclassical
ptilo,2,neoclassical
sito,2,neoclassical
gamo,2,neoclassical
hylo,2,neoclassical
Russo,2,
therm,2,neoclassical
nonadeca,2,neoclassical
phallo,2,neoclassical
telluro,2,neoclassical
platino,2,neoclassical
La,2,
Latino,2,
Daco,2,
hyalo,2,neoclassical
Istro,2,neoclassical
leio,2,neoclassical
teno,2,neoclassical
phaeo,2,neoclassical
basidio,2,neoclassical
pebi,2,neoclassical
myringo,2,neoclassical
choano,2,neoclassical
sexuo,2,neoclassical
hexo,2,neoclassical
glutar,2,neoclassical
Croato,2,
Balto,2,
deuter,2,neoclassical
mnemo,2,neoclassical
culturo,2,neoclassical
yobi,2,neoclassical
zebi,2,neoclassical
angusti,2,neoclassical
cheilo,2,neoclassical
phosphoro,2,neoclassical
schm,2,neoclassical
tert,2,neoclassical
masso,2,neoclassical
infundibulo,2,neoclassical
oesophago,2,neoclassical
cen,2,neoclassical
cholyl,2,neoclassical
kerauno,2,neoclassical
ven,2,neoclassical
perineo,2,neoclassical
ec,2,neoclassical
Judaeo,2,neoclassical
foeto,2,neoclassical
antiferro,2,neoclassical
carba,2,neoclassical
rutheno,2,neoclassical
hendeca,2,neoclassical
cleido,2,neoclassical
baryo,2,neoclassical
tetrakis,2,neoclassical
aetio,2,neoclassical
octavo,2,neoclassical
gleno,2,neoclassical
optico,2,neoclassical
potentio,2,neoclassical
urino,2,neoclassical
sinistr,2,neoclassical
coen,2,neoclassical
xyl,2,neoclassical
zirco,2,neoclassical
clitoro,2,neoclassical
ampho,2,neoclassical
niobo,2,neoclassical
sulf,2,neoclassical
recti,2,neoclassical
purpureo,2,neoclassical
pneumato,2,neoclassical
sept,2,neoclassical
jugulo,2,neoclassical
sulph,2,neoclassical
trocho,2,neoclassical
membrano,2,neoclassical
intro,2,neoclassical
sexa,2,neoclassical
prae,2,neoclassical
pharma,2,neoclassical
oneiro,2,neoclassical
heptadeca,2,neoclassical
sursum,2,neoclassical
deorsum,2,neoclassical
chlamydo,2,neoclassical
vin,2,neoclassical
Thraco,2,neoclassical
Graeco,2,neoclassical
poikilo,2,neoclassical
metatarso,2,neoclassical
cantho,2,neoclassical
hagio,2,neoclassical
axillo,2,neoclassical
porno,2,
cylindro,2,neoclassical
desmo,2,neoclassical
hect,2,neoclassical
μ,2,
nevo,2,neoclassical
choroido,2,neoclassical
distalo,2,neoclassical
naviculo,2,neoclassical
aortico,2,neoclassical
ampelo,2,neoclassical
bel,2,
conservo,2,neoclassical
helico,2,neoclassical
kinesi,2,neoclassical
gyne,2,neoclassical
gon,2,
pulso,2,neoclassical
analgo,2,neoclassical
sapheno,2,neoclassical
oxaza,2,neoclassical
lymphatico,2,neoclassical
perio,2,neoclassical
echino,2,neoclassical
Hispano,2,
periodonto,2,neoclassical
lenticulo,2,neoclassical
colliculo,2,neoclassical
utriculo,2,neoclassical
obliquo,2,neoclassical
Dano,2,neoclassical
operculo,2,neoclassical
miso,2,neoclassical
cingulo,2,neoclassical
ostreo,2,neoclassical
vitro,2,neoclassical
areo,2,neoclassical
historio,2,neoclassical
ephebo,2,neoclassical
nodo,2,neoclassical
Illyro,2,neoclassical
seco,2,neoclassical
allanto,2,neoclassical
alveo,2,neoclassical
ankylo,2,neoclassical
Romano,2,neoclassical
carotico,2,neoclassical
conjunctivo,2,neoclassical
dentino,2,neoclassical
embolo,2,neoclassical
erythemato,2,neoclassical
primo,2,neoclassical
prefronto,2,neoclassical
tuberculo,2,neoclassical
valvulo,2,neoclassical
palmaro,2,neoclassical
primi,2,neoclassical
intermedio,2,neoclassical
bracteo,2,neoclassical
